Common Name,Threatened status,Kingdom,Class,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Small Helmet-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Grooved Helmet-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Yellowjacket,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Glen Geddes Bloodwood,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Glenugie Karaka,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Cossinia,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Preminghana Billybutton,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Dalhousie Hardyhead,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,Yes,-,-,-
Murray Hardyhead,Endangered,Animalia,Actinopterygii,-,Yes,-,-,Yes,-,Yes,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Sloane's Froglet,Endangered,Animalia,Amphibia,-,Yes,-,-,-,-,Yes,-
Christmas Island Shrew,Critically Endangered,Animalia,Mammalia,-,-,-,-,-,-,-,-
Bahrs Scrub Croton,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,-
Arafura Snake-eyed Skink,Endangered,Animalia,Reptilia,-,-,Yes,-,-,-,-,-
"Stinking Cryptocarya, Stinking Laurel",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Leafless Tongue-orchid,Vulnerable,Plantae,Liliopsida,-,Yes,-,Yes,-,-,Yes,-
Yinnietharra Rock-Dragon,Vulnerable,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
Lancelin Island Skink,Vulnerable,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
Gravel Downs Ctenotus,Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
Hamelin Ctenotus,Vulnerable,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
Wedge-leaf Tuckeroo,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Boonah Tuckeroo,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Animalia,Aves,-,-,-,-,-,-,-,-
"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,Animalia,Aves,-,-,-,-,-,Yes,-,-
"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,Animalia,Aves,-,Yes,-,-,-,-,-,-
a tree-fern,Endangered,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
a cycad,Vulnerable,Plantae,Cycadatae,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Cycadatae,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Cycadatae,-,-,-,Yes,-,-,-,-
a cycad,Vulnerable,Plantae,Cycadatae,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Cycadatae,-,-,-,Yes,-,-,-,-
Alpine She-oak Skink,Endangered,Animalia,Reptilia,-,Yes,-,-,-,-,Yes,-
a shrub,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Coxen's Fig-Parrot,Critically Endangered,Animalia,Aves,-,Yes,-,Yes,-,-,-,-
White-flowered Wax Plant,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Liliopsida,-,Yes,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Christmas Island Giant Gecko,Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,-
Bonville Leafless Orchid,Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Illawarra Socketwood,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Fine-leaved Darwinia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Scarp Darwinia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Mogumber Bell, Narrogin Bell",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Chapman's Bell,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Yellow Mountain Bell,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Scott River Darwinia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Muchea Bell,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Mason's Darwinia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Cranbrook Bell,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Success Bell, Red Mountain Bell",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Gillam's Bell,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Harlequin Bell,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Abba Bell,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wittwer's Mountain Bell,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Native Foxglove,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Eastern Bristlebird,Endangered,Animalia,Aves,-,Yes,-,Yes,-,-,Yes,-
"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Animalia,Aves,-,-,-,-,-,-,-,Yes
Western Bristlebird,Endangered,Animalia,Aves,-,-,-,-,-,-,-,Yes
"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",Endangered,Animalia,Mammalia,-,-,Yes,Yes,Yes,-,-,-
"Chuditch, Western Quoll",Vulnerable,Animalia,Mammalia,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes
"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Animalia,Mammalia,-,-,Yes,Yes,-,-,-,Yes
"Spotted-tailed Quoll (North Queensland), Yarri",Endangered,Animalia,Mammalia,-,-,-,Yes,-,-,-,-
"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Animalia,Mammalia,Yes,Yes,-,Yes,Yes,-,Yes,-
"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Animalia,Mammalia,-,-,-,-,-,Yes,-,-
"Eastern Quoll, Luaner",Endangered,Animalia,Mammalia,Yes,Yes,-,-,Yes,Yes,Yes,-
Davidson's Plum,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Three Springs Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Cunderdin Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Diels' Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Long-leaved Daviesia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wongan Cactus,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Maroon-flowered Daviesia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Grampians Bitter-pea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Long-sepalled Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Norseman Pea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Paddle-leaf Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Broad-leaf Daviesia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Stirling Range Daviesia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Beautiful Daviesia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Struck Oil Myrtle,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Animalia,Reptilia,Yes,Yes,-,-,Yes,-,Yes,-
"Atherton Delma, Legless Lizard",Vulnerable,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Adorned Delma, Collared Delma",Vulnerable,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
Hunter Valley Delma,Endangered,Animalia,Reptilia,-,Yes,-,-,-,-,-,-
Antelope Orchid,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Cooktown Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Norfolk Island Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,-
Chocolate Tea Tree Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Dark-stemmed Antler Orchid, Mangrove Orchid",Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
an orchid,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Cauliflower Soft Coral,Endangered,Animalia,Anthozoa,-,Yes,-,Yes,-,-,-,-
Large-fruited Denhamia,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Small-leaved Denhamia,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Ornamental Snake,Vulnerable,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Animalia,Reptilia,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thorny Pea,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Drummond's Grass, Drummond Grass",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
-,Extinct,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Narrow-leaf Bent-grass,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Climbing Bent-grass,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Skirted Bent-grass,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Matted Flax-lily,Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,Yes,-
King Blue-grass,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
bluegrass,Vulnerable,Plantae,Liliopsida,-,Yes,-,Yes,-,-,-,-
-,Extinct,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Amsterdam Albatross,Endangered,Animalia,Aves,-,Yes,-,-,Yes,Yes,Yes,Yes
Antipodean Albatross,Vulnerable,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Gibson's Albatross,Vulnerable,Animalia,Aves,-,Yes,-,Yes,-,Yes,Yes,-
Tristan Albatross,Endangered,Animalia,Aves,-,-,-,-,Yes,-,-,Yes
Southern Royal Albatross,Vulnerable,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Wandering Albatross,Vulnerable,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Northern Royal Albatross,Endangered,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
"Red-fruited Ebony, Silky Persimmon, Ebony",Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
Small-leaved Tamarind,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Bell Flower Hyacinth Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Buttercup Doubletail,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Small Golden Moths Orchid, Early Golden Moths",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
-,Extinct,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Tall Donkey Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Sunshine Diuris, Fragrant Doubletail, White Diuris",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Snake Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Dwarf Bee-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Pale Golden Moths,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Newcastle Doubletail,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Purdie's Donkey-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Trailing Hop-bush,Vulnerable,Plantae,Magnoliopsida,Yes,Yes,-,-,Yes,-,Yes,-
Velvet Hopbush,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Peep Hill Hop-bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Kneeling Hammer-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Late Hammer-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid,  Warty Hammer Orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Lonely Hammer-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Dwarf Hammer-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
King Island Emu,Extinct,Animalia,Aves,-,-,-,-,-,Yes,-,-
Kangaroo Island Emu,Extinct,Animalia,Aves,-,-,-,-,Yes,-,-,-
"Tasmanian Emu, Emu (Tasmanian)",Extinct,Animalia,Aves,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Morseby Range Drummondita,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Peak Charles Drummondita,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,Animalia,Insecta,-,Yes,-,-,-,-,-,-
Remote Thorny Lignum,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Sharkwood, a tree",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
"Kaputar Rock Skink, Mt Kaputar Rock Skink",Critically Endangered,Animalia,Reptilia,-,Yes,-,-,-,-,-,-
Yakka Skink,Vulnerable,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
Nightcap Oak,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Minyon Quandong,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Hairy Quandong,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mountain Procris,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Keighery's Eleocharis,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
a spike rush,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Dwarf Desert Spike-rush,Vulnerable,Plantae,Liliopsida,-,-,Yes,-,Yes,-,-,Yes
a sedge,Vulnerable,Plantae,Liliopsida,-,-,Yes,Yes,-,-,-,-
"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Irwin's Turtle, White-headed Snapping Turtle",Vulnerable,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
Gulf Snapping Turtle,Endangered,Animalia,Reptilia,-,-,Yes,Yes,-,-,-,-
"Mary River Turtle, Mary River Tortoise",Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Extinct,Animalia,Reptilia,-,-,-,-,-,-,-,-
"Jardine River Turtle, Red-flushed River Turtle",Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Floyd's Walnut, Crystal Creek Walnut",Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
"Rusty Rose Walnut, Velvet Laurel",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Central North Burrowing Crayfish,Endangered,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Furneaux Burrowing Crayfish,Endangered,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Mount Arthur Burrowing Crayfish,Vulnerable,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Scottsdale Burrowing Crayfish,Endangered,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Burnie Burrowing Crayfish,Vulnerable,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Margaret River Burrowing Crayfish,Critically Endangered,Animalia,Malacostraca,-,-,-,-,-,-,-,Yes
Dunsborough Burrowing Crayfish,Critically Endangered,Animalia,Malacostraca,-,-,-,-,-,-,-,Yes
Walpole Burrowing Crayfish,Endangered,Animalia,Malacostraca,-,-,-,-,-,-,-,Yes
Apsley Heath,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Bearded Heath, Freycinet Heath",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
South Esk Heath,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Funnel Heath, Smooth Heath",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Grand Heath, Tall Heath",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Mt Cameron Heath, Granite Heath",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Border Heath, Bordered Heath",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Southport Heath, Stuart's Heath",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Pretty Heath, Dan Hill Heath",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Bog Willow-herb,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Animalia,Actinopterygii,-,Yes,-,Yes,-,-,Yes,-
"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,Animalia,Aves,-,-,-,Yes,-,-,-,-
"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Animalia,Aves,-,-,Yes,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Fitzgerald Eremophila,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Cumquat Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Koobabbie Eremophila, Koobabbie Poverty Bush",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Milky Emu Bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Silky Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Pinnate-leaf Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Rainbow Valley Fuchsia Bush,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Resinous Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Beaked Eremophila,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Rough Emu Bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Lake King Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wongan Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Resinous Poverty Bush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Whorled Eremophila,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Campion Eremophila, Green-flowered Emu bush",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Varnish Bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Hawksbill Turtle,Vulnerable,Animalia,Reptilia,-,Yes,Yes,Yes,-,-,-,Yes
"Austral Pipewort, Southern Pipewort",Endangered,Plantae,Liliopsida,-,Yes,-,-,Yes,-,Yes,-
"Salt Pipewort, Button Grass",Endangered,Plantae,Liliopsida,-,Yes,-,Yes,Yes,-,-,-
Blue Devil,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Red Goshawk,Endangered,Animalia,Aves,-,Yes,Yes,Yes,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Gouldian Finch,Endangered,Animalia,Aves,-,-,Yes,Yes,-,-,-,Yes
"Narrow Euastacus, Slender Dwarf Crayfish, Narrow Dwarf Crayfish",Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Murray Crayfish,Vulnerable,Animalia,Malacostraca,Yes,Yes,-,-,-,-,Yes,-
Balan Spiny Crayfish,Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Bidhawal Crayfish, Bidawal Crayfish, East Gippsland Spiny Crayfish",Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,Yes,-
Mt Elliot Crayfish,Critically Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Embezee's Crayfish,Critically Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,Animalia,Malacostraca,-,-,-,-,Yes,-,Yes,-
"Ellen Clark's Crayfish, Clark's Crayfish",Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Mud Gully Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,Yes,-,-,-,-
Fitzroy Falls Spiny Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Orbost Spiny Crayfish,Endangered,Animalia,Malacostraca,-,-,-,-,-,-,Yes,-
Eungella Spiny Crayfish,Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Flecker's Crayfish, Red and Blue Spiny Crayfish",Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish",Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Smooth Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
"Bloodclaw Crayfish, Blood Crayfish",Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Swollen Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Tianjara Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Conondale Spiny Crayfish,Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Blue-black Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Jagara Hairy Crayfish,Critically Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Terrestrial Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
"Hinterland Spiny Crayfish, Hinterland Crayfish",Critically Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Orange-bellied Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,Yes,-,-,-,-
"Monteith's Crayfish, Monteith's Spiny Crayfish",Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Morgan's Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Many-bristled Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Riek's Crayfish,Endangered,Animalia,Malacostraca,Yes,Yes,-,-,-,-,-,-
"Robert's Crayfish, Robert's Spiny Crayfish",Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Simple Crayfish, Small Mountain Crayfish",Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
"Coughran's Crayfish, Arte Spiny Crayfish",Endangered,Animalia,Malacostraca,-,-,-,-,-,-,Yes,-
Small Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
Sutton's Crayfish,Endangered,Animalia,Malacostraca,-,Yes,-,Yes,-,-,-,-
Maleny Crayfish,Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Cudgegong Giant Spiny Crayfish,Critically Endangered,Animalia,Malacostraca,-,Yes,-,-,-,-,-,-
